,date,close-price,market-cap,volume
2343,04-06-23,27066.37133,5.25E+11,6673279606
2344,05-06-23,27315.44759,5.30E+11,6098045626
2345,06-06-23,25792.61609,5.01E+11,21208433572
2346,07-06-23,27216.61556,5.27E+11,22188018261
2347,08-06-23,26346.24455,5.11E+11,14723854336
2348,09-06-23,26507.90989,5.14E+11,10197924964
2349,10-06-23,26469.58168,5.13E+11,10464066236
2350,11-06-23,25858.12289,5.02E+11,9755626714
2351,12-06-23,25916.5799,5.03E+11,10439993428
2352,13-06-23,25910.36274,5.03E+11,9761691909
2353,14-06-23,25872.20646,5.02E+11,9921875986
2354,15-06-23,25107.7547,4.87E+11,11982737580
2355,16-06-23,25564.59963,4.96E+11,15184095954
2356,17-06-23,26327.32567,5.11E+11,13604025864
2357,18-06-23,26501.04444,5.14E+11,9533422255
2358,19-06-23,26333.09253,5.11E+11,8589379740
